epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1693.83,1.57626,0.68652,1.03821,0.96302,0.91914,0.96229,0.62074,1.13855,0.51253,0.90674,0.000581,0.000581,0.000581
45,1734.75,1.57992,0.68864,1.04162,0.96037,0.91983,0.96217,0.6149,1.15558,0.51417,0.90404,0.000548,0.000548,0.000548
46,1775.42,1.57082,0.67964,1.03874,0.95473,0.9397,0.9662,0.6107,1.1677,0.51062,0.91162,0.000515,0.000515,0.000515
47,1816.08,1.57414,0.68257,1.04028,0.9569,0.91596,0.97034,0.62205,1.12982,0.51173,0.90202,0.000482,0.000482,0.000482
48,1856.5,1.56579,0.67656,1.03659,0.96045,0.92409,0.96893,0.62051,1.1585,0.51516,0.90718,0.000449,0.000449,0.000449
49,1897.29,1.5617,0.6733,1.03232,0.96043,0.92118,0.96834,0.61861,1.15401,0.50347,0.90321,0.000416,0.000416,0.000416
50,1935.67,1.56321,0.67075,1.03138,0.9499,0.93399,0.97194,0.61669,1.17069,0.51224,0.91061,0.000383,0.000383,0.000383
51,1995.49,1.60795,0.65625,1.06061,0.95412,0.93564,0.96733,0.62482,1.16032,0.51819,0.91291,0.00035,0.00035,0.00035
52,2030.55,1.59468,0.65543,1.05441,0.9559,0.92994,0.96974,0.62034,1.18927,0.52175,0.91258,0.000317,0.000317,0.000317
53,2065.64,1.58762,0.65459,1.05521,0.9684,0.91021,0.96514,0.62389,1.15247,0.5157,0.90932,0.000284,0.000284,0.000284
54,2100.81,1.58158,0.65155,1.05049,0.96242,0.9298,0.96878,0.62407,1.14483,0.51445,0.9065,0.000251,0.000251,0.000251
55,2136.18,1.57724,0.64678,1.04895,0.95124,0.93355,0.96554,0.63526,1.1276,0.5069,0.9033,0.000218,0.000218,0.000218
56,2171.75,1.57068,0.64655,1.0433,0.9629,0.93234,0.96836,0.63065,1.13986,0.50716,0.90564,0.000185,0.000185,0.000185
57,2207.18,1.57059,0.64134,1.047,0.9712,0.92574,0.97039,0.62607,1.14391,0.50882,0.90643,0.000152,0.000152,0.000152
58,2242.62,1.56337,0.63904,1.04588,0.9755,0.91983,0.9688,0.62927,1.14767,0.50191,0.90703,0.000119,0.000119,0.000119
59,2278.02,1.55842,0.63749,1.04113,0.97074,0.92574,0.96815,0.6341,1.14213,0.49982,0.90609,8.6e-05,8.6e-05,8.6e-05
60,2313.55,1.55943,0.63621,1.04301,0.96726,0.92619,0.96935,0.63086,1.14992,0.50141,0.90764,5.3e-05,5.3e-05,5.3e-05
